Nome,Open Interest Call,Open Interest Put
Ftsemib,70.116,150.777
,,
A2a,2.684,2.227
Acea,522,465
Amplifon,459,577
Anima Holding,282,62
Ariston Holding,48,16
Azimut,2.492,1.689
Banca Generali,2.911,1.143
Banca Ifis,4.887,525
Banca Mediolanum,1.560,1.415
Banca Monte Paschi Siena,8.101,21.696
Banco Bpm,42.155,165.175
Bca Pop Sondrio,366,355
Bff Bank,106,67
Bper Banca,10.927,13.684
Brembo,586,1.113
Brunello Cucinelli,161,363
Buzzi,891,812
Campari,8.636,6.971
Carel Industries,,
Danieli & C,448,51
De'Longhi,10,20
Diasorin,702,396
Enav,638,12
Enel,261.675,492.713
Eni,106.546,291.270
Erg,408,621
Ferrari,6.286,9.148
Fincantieri,339,1.024
Finecobank,1.523,11.485
Generali,400.281,771.604
Geox,83,50
Gvs,8,1
Hera,557,75
Industrie De Nora,806,453
Interpump Group,2.322,430
Intesa Sanpaolo,226.079,862.726
Inwit,4.014,1.136
Iren,1.898,204
Italgas,931,3.242
Iveco Group,1.032,543
Juventus Fc,55,99
Leonardo,5.208,4.125
Lottomatica Group,89,15
Maire,241,39
Mediobanca,9.022,39.424
Mfe B,488,535
Moncler,2.134,4.209
Mondadori Edit,1.066,50
Nexi,13.527,22.349
Ovs,499,348
Piaggio,131,295
Pirelli & C,4.197,18.953
Poste Italiane,9.210,12.459
Prysmian,4.649,3.336
Rai Way,,
Recordati Ord,477,288
Reply,3,11
Safilo Group,40,6
Saipem,12.670,8.306
Salvatore Ferragamo,319,795
Sanlorenzo,,
Saras,661,834
Sesa,3.265,285
Snam,11.222,13.392
Stellantis,106.212,292.525
Stmicroelectronics,5.475,8.492
Tamburi,53,28
Technogym,142,50
Technoprobe,160,
Telecom Italia,165.911,139.085
Telecom Italia R,13.262,12.802
Tenaris,9.368,12.867
Terna,1.342,7.051
Unicredit,45.044,122.356
Unipol,2.274,5.919
Webuild,854,1.820
Totale,1.603.746,3.549.484
